label,anatomy,,,isomap,,,MDS,,,tsne,,,PLACE
1013,62.251,145.98,37.337,-2.686908825,-8.229742467,-48.5263275,-6.246911031,-38.93842814,17.26861677,31.36417181,34.0159161,-3.545771621,4
1014,218.23,144.89,65.387,-17.81333651,8.234814293,41.33851388,-4.005042303,-12.32576317,-23.09233099,33.19609749,36.37081154,-4.274632894,5
1014,205.6,144.33,58.644,-20.01701897,37.55605118,-22.71681208,12.96821669,38.91936041,3.203317567,32.23730924,35.68177537,-4.664483604,12
1014,191.02,144.49,56.908,0.472842604,35.99093325,-27.3163918,16.29936229,-45.54272512,5.560578972,30.99931153,34.6629872,-4.985569504,6
1014,234.6,144.53,67.412,-4.829277781,-28.4788517,-40.75156533,-4.654271936,24.32556638,26.07071125,31.70562206,35.81636518,-5.617797822,15
1014,227.07,145.41,64.891,47.0977056,-9.87964547,-1.861926928,11.27208977,46.21999692,13.56308335,32.2385636,36.7923645,-6.246988252,11
1015,88.28,211.92,50.329,14.05752367,-6.269405637,42.97121861,18.63987165,45.13067662,13.17429298,29.92927324,34.50809094,-6.30309939,9
1015,174.94,199.27,40.362,23.92094943,-12.2266619,-37.17876548,-0.731276476,8.90765377,-26.04751932,30.962347,36.06681723,-7.049295092,4
1015,180.45,193.69,35.248,-15.68411104,4.2380367,-42.88996058,4.961626187,70.91497761,-11.54027217,30.18791954,35.52738359,-7.396128703,16
1015,166.03,208.19,48.744,-29.72832988,14.00629835,33.93651823,-3.045588664,-0.356047433,18.63667106,30.11662784,35.80963322,-7.9085837,4
1015,161.1,203.66,44.89,-34.3116052,-30.6467501,-19.25359369,-9.285128842,-59.77810084,16.36705459,29.60646332,35.5673435,-8.303719939,9
1015,147.81,215.56,53.518,-27.67432583,28.95718191,26.08481182,19.09098833,27.17740907,16.89899678,28.67322603,34.80336133,-8.56259229,3
1015,148.47,207.8,49.821,12.03882232,11.7579768,46.57662078,11.21108674,74.16036444,0.337313969,28.13429863,34.50399001,-8.920814969,8
1015,133.28,215.52,52.943,1.110089278,-11.98497644,-47.30518458,21.70018393,50.00001381,0.95239688,28.25604792,35.01407013,-9.489494681,5
1015,132.67,207.88,51.628,2.830089974,45.87083567,6.184786035,-23.18823562,34.31563513,-6.736552358,29.08494535,36.41725812,-10.32274148,15
1015,120.69,215.54,56.764,-25.34972079,-5.602985489,-39.5428783,-12.54324325,-53.59556556,14.68208986,27.6444258,34.9755658,-10.34796973,11
1015,118.28,205.94,58.693,0.77793422,-1.052174252,-48.05950983,8.844536745,-9.349304027,20.80940719,29.40869499,37.59776202,-11.58914479,12
1015,108.47,216.86,57.92,-0.558928749,-7.194696156,45.7282757,-2.828409614,6.610935227,-27.41666314,29.46909274,38.07092921,-12.2053233,12
1015,102.66,211.36,53.746,-43.5280289,-11.05706653,19.2635192,13.27330983,-60.00372731,10.5944359,26.47227635,34.55973462,-11.50595287,6
1015,77.694,208.42,52.169,14.82303481,2.463676782,-42.78271378,-3.828361451,2.811946474,-22.42484326,26.53018532,35.00130662,-12.08420702,1
1015,77.341,200.83,49.359,-0.439639675,30.15291743,39.61380147,-2.733368247,11.71432803,21.41538048,28.14142139,37.52043525,-13.41584555,8
1016,137.06,173.24,41.621,-33.85064352,-30.17812678,18.76287653,-13.52849612,-42.09872507,21.9292895,27.15915735,36.59565665,-13.53550894,5
1016,113.17,170.03,52.817,1.689962142,-6.240024524,-44.61599216,7.097116443,59.69979701,-10.4340738,27.99206078,38.12006609,-14.56839221,1
1017,130.31,151.96,108.79,0.100953437,-3.402016814,46.20060404,-3.179522637,4.00347904,17.60704197,26.97843446,37.13262944,-14.64806522,16
